status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,model,selection,crossover,generations,mean_score
1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,SupportVectorMachine,elitism,one-point,13,0.76
1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,SupportVectorMachine,elitism,uniform,15,0.76
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,SupportVectorMachine,elitism,two-points,16,0.76
1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,SupportVectorMachine,roulette,uniform,11,0.757
1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,RandomForest,tournament,uniform,11,0.756
1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,SupportVectorMachine,tournament,two-points,9,0.756
1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,SupportVectorMachine,tournament,one-point,15,0.756
1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,RandomForest,tournament,one-point,8,0.756
1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,SupportVectorMachine,roulette,one-point,11,0.756
1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,RandomForest,elitism,uniform,9,0.755
1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,SupportVectorMachine,tournament,uniform,10,0.755
1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,RandomForest,elitism,two-points,12,0.755
1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,SupportVectorMachine,roulette,two-points,7,0.755
1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,RandomForest,roulette,one-point,14,0.754
1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,AdaBoost,elitism,two-points,19,0.754
1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,AdaBoost,tournament,two-points,30,0.752
1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,AdaBoost,elitism,uniform,9,0.752
1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,RandomForest,elitism,one-point,10,0.752
1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,AdaBoost,tournament,uniform,30,0.751
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AdaBoost,elitism,one-point,11,0.75
1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,RandomForest,tournament,two-points,11,0.749
1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,AdaBoost,roulette,one-point,5,0.749
1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,RandomForest,roulette,two-points,8,0.748
1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,AdaBoost,tournament,one-point,5,0.747
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,RandomForest,roulette,uniform,11,0.745
0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,AdaBoost,roulette,two-points,6,0.745
1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,AdaBoost,roulette,uniform,5,0.741
